date;close
2025-10-24;259.92001
2025-10-23;253.080002
2025-10-22;251.69000
2025-10-21;250.46001
2025-10-20;256.54999
2025-10-17;253.30000
2025-10-16;251.46001
2025-10-15;251.029999
2025-10-14;245.45000
2025-10-13;244.14999
2025-10-10;236.57001
2025-10-09;241.53000
2025-10-08;244.62000
2025-10-07;245.75999
2025-10-06;250.42999
2025-10-03;245.35001
2025-10-02;245.69000
2025-10-01;244.89999
2025-09-30;243.10001
2025-09-29;244.050003
2025-09-26;246.53999
2025-09-25;245.78999
2025-09-24;247.14000
2025-09-23;251.66000
2025-09-22;252.53000
2025-09-19;254.72000
2025-09-18;252.029999
2025-09-17;249.53000
2025-09-16;251.16000
2025-09-15;251.61000
2025-09-12;240.80000
2025-09-11;240.37000
2025-09-10;239.17000
2025-09-09;239.63000
2025-09-08;234.039993
2025-09-05;235
2025-09-04;232.30000
2025-09-03;230.66000
2025-09-02;211.35001
2025-08-29;212.91000
2025-08-28;211.64000
2025-08-27;207.48000
2025-08-26;207.14000
2025-08-25;208.49001
2025-08-22;206.089996
2025-08-21;199.75
2025-08-20;199.32001
2025-08-19;201.57001
2025-08-18;203.5
2025-08-15;203.89999
2025-08-14;202.94000
2025-08-13;201.96001
2025-08-12;203.34000
2025-08-11;201
2025-08-08;201.42000
2025-08-07;196.52000
2025-08-06;196.089996
2025-08-05;194.67000
2025-08-04;195.039993
2025-08-01;189.13000
2025-07-31;191.89999
2025-07-30;196.53000
2025-07-29;195.75
2025-07-28;192.58000
2025-07-25;193.17999
2025-07-24;192.17000
2025-07-23;190.23000
2025-07-22;191.34000
2025-07-21;190.10001
2025-07-18;185.059998
2025-07-17;183.58000
2025-07-16;182.97000
2025-07-15;182
2025-07-14;181.56000
2025-07-11;180.19000
2025-07-10;177.62000
2025-07-09;176.62000
2025-07-08;174.36000
2025-07-07;176.78999
2025-07-03;179.53000
2025-07-02;178.64000
2025-07-01;175.84000
2025-06-30;176.23000
2025-06-27;178.53000
2025-06-26;173.53999
2025-06-25;170.67999
2025-06-24;166.77000
2025-06-23;165.19000
2025-06-20;166.64000
2025-06-18;173.32001
2025-06-17;175.95000
2025-06-16;176.77000
2025-06-13;174.67000
2025-06-12;175.70000
2025-06-11;177.35001
2025-06-10;178.60001
2025-06-09;176.089996
2025-06-06;173.67999
2025-06-05;168.21001
2025-06-04;168.050003
2025-06-03;166.17999
2025-06-02;169.029999
2025-05-30;171.74001
2025-05-29;171.86000
2025-05-28;172.36000
2025-05-27;172.89999
2025-05-23;168.47000
2025-05-22;170.87000
2025-05-21;168.56000
2025-05-20;163.98000
2025-05-19;166.53999
2025-05-16;166.19000
2025-05-15;163.96001
2025-05-14;165.37000
2025-05-13;159.53000
2025-05-12;158.46001
2025-05-09;152.75
2025-05-08;154.28000
2025-05-07;151.38000
2025-05-06;163.23000
2025-05-05;164.21001
2025-05-02;164.029999
2025-05-01;161.30000
2025-04-30;158.80000
2025-04-29;160.16000
2025-04-28;160.61000
2025-04-25;161.96001
2025-04-24;159.28000
2025-04-23;155.35001
2025-04-22;151.47000
2025-04-21;147.67000
2025-04-17;151.16000
2025-04-16;153.33000
2025-04-15;156.31000
2025-04-14;159.070007
2025-04-11;157.14000
2025-04-10;152.82001
2025-04-09;158.71001
2025-04-08;144.70000
2025-04-07;146.75
2025-04-04;145.60001
2025-04-03;150.72000
2025-04-02;157.039993
2025-04-01;157.070007
2025-03-31;154.64000
2025-03-28;154.33000
2025-03-27;162.24001
2025-03-26;165.059998
2025-03-25;170.56000
2025-03-24;167.67999
2025-03-21;163.99001
2025-03-20;162.80000
2025-03-19;163.89000
2025-03-18;160.67000
2025-03-17;164.28999
2025-03-14;165.49001
2025-03-13;162.75999
2025-03-12;167.11000
2025-03-11;164.039993
2025-03-10;165.87000
2025-03-07;173.86000
2025-03-06;172.35001
2025-03-05;173.020004
2025-03-04;170.92000
2025-03-03;167.0099945
2025-02-28;170.28000
2025-02-27;168.5
2025-02-26;172.73000
2025-02-25;175.42000
2025-02-24;179.25
2025-02-21;179.66000
2025-02-20;184.56000
2025-02-19;185.27000
2025-02-18;183.77000
2025-02-14;185.23000
2025-02-13;186.14000
2025-02-12;183.61000
2025-02-11;185.32001
2025-02-10;186.47000
2025-02-07;185.34000
2025-02-06;191.60001
2025-02-05;191.33000
2025-02-04;206.38000
2025-02-03;201.23000
2025-01-31;204.020004
2025-01-30;200.87000
